,bench_name,Benchmark,Target,Ranks,Scaling,Bandwidth (TB/s),Bandwidth (GB/s),model,runtime,device,vsize,Number of GPU Tiles,Number of CPU Cores,Number of CPU Sockets,rtime
152,BlackScholes_DR,BlackScholes,MHP_SYCL_GPU,1,strong,0.8075765344774206,807.5765344774206,MHP,SYCL,GPU,2000000000,1,56,1.0,2476.5454599224972
22,BlackScholes_DR,BlackScholes,MHP_SYCL_GPU,2,strong,1.552858789999036,1552.8587899990362,MHP,SYCL,GPU,2000000000,2,112,2.0,1287.9471159133802
147,BlackScholes_DR,BlackScholes,MHP_SYCL_GPU,3,strong,2.397058117688871,2397.058117688871,MHP,SYCL,GPU,2000000000,3,168,3.0,834.3560739062532
4,BlackScholes_DR,BlackScholes,MHP_SYCL_GPU,4,strong,2.99751445502825,2997.51445502825,MHP,SYCL,GPU,2000000000,4,224,4.0,667.219467997912
122,BlackScholes_Reference,BlackScholes,Reference_GPU,1,strong,0.7634275550013694,763.4275550013693,SHP,SYCL,GPU,2000000000,1,56,1.0,2619.7639669901782
15,BlackScholes_DR,BlackScholes,SHP_SYCL_GPU,1,strong,0.8162227667290685,816.2227667290684,SHP,SYCL,GPU,2000000000,1,56,1.0,2450.3114609444197
113,BlackScholes_DR,BlackScholes,SHP_SYCL_GPU,2,strong,1.5169338723301389,1516.933872330139,SHP,SYCL,GPU,2000000000,2,112,2.0,1318.4490349126627
133,BlackScholes_DR,BlackScholes,SHP_SYCL_GPU,3,strong,2.3715481110592043,2371.548111059204,SHP,SYCL,GPU,2000000000,3,168,3.0,843.3309831132797
58,BlackScholes_DR,BlackScholes,SHP_SYCL_GPU,4,strong,3.256041258302026,3256.0412583020266,SHP,SYCL,GPU,2000000000,4,224,4.0,614.2428308918198
