,bench_name,Benchmark,Target,Ranks,Scaling,Bandwidth (TB/s),Bandwidth (GB/s),model,runtime,device,vsize,Number of GPU Tiles,Number of CPU Cores,Number of CPU Sockets,rtime
73,Stream_Triad,Stream_Triad,MHP_DIRECT_CPU,56,strong,0.1875936402389325,187.5936402389325,MHP,DIRECT,CPU,2000000000,56,56,1.0,6396.805341969991
93,Stream_Triad,Stream_Triad,MHP_DIRECT_CPU,112,strong,0.27757003651989137,277.57003651989135,MHP,DIRECT,CPU,2000000000,112,112,2.0,4323.233210058698
34,Stream_Triad,Stream_Triad,MHP_SYCL_CPU,1,strong,0.19230421338885123,192.30421338885122,MHP,SYCL,CPU,2000000000,1,56,1.0,6240.112886000706
65,Stream_Triad,Stream_Triad,MHP_SYCL_CPU,2,strong,0.2924331110612302,292.43311106123025,MHP,SYCL,CPU,2000000000,2,112,2.0,4103.50249205789
83,Stream_Triad,Stream_Triad,SHP_SYCL_CPU,1,strong,0.19225543309078358,192.25543309078358,SHP,SYCL,CPU,2000000000,1,56,1.0,6241.696168000394
52,Stream_Triad,Stream_Triad,SHP_SYCL_CPU,2,strong,0.2800101326353254,280.0101326353254,SHP,SYCL,CPU,2000000000,2,112,2.0,4285.559199969504
