,bench_name,Benchmark,Target,Ranks,Scaling,Bandwidth (TB/s),Bandwidth (GB/s),model,runtime,device,vsize,Number of GPU Tiles,Number of CPU Cores,Number of CPU Sockets,rtime
150,Stream_Add,Stream_Add,MHP_SYCL_GPU,1,strong,0.8114514040380982,811.4514040380983,MHP,SYCL,GPU,2000000000,1,56,1.0,1478.8316269197792
20,Stream_Add,Stream_Add,MHP_SYCL_GPU,2,strong,1.6278290285127854,1627.8290285127855,MHP,SYCL,GPU,2000000000,2,112,2.0,737.1781550648118
145,Stream_Add,Stream_Add,MHP_SYCL_GPU,3,strong,2.3760460629098152,2376.0460629098156,MHP,SYCL,GPU,2000000000,3,168,3.0,505.0407139541835
2,Stream_Add,Stream_Add,MHP_SYCL_GPU,4,strong,3.2118770159780548,3211.8770159780547,MHP,SYCL,GPU,2000000000,4,224,4.0,373.6133089873573
13,Stream_Add,Stream_Add,SHP_SYCL_GPU,1,strong,0.8251717651377696,825.1717651377695,SHP,SYCL,GPU,2000000000,1,56,1.0,1454.2426809764263
111,Stream_Add,Stream_Add,SHP_SYCL_GPU,2,strong,1.6504876900929422,1650.487690092942,SHP,SYCL,GPU,2000000000,2,112,2.0,727.0578309689943
131,Stream_Add,Stream_Add,SHP_SYCL_GPU,3,strong,2.4574883498646587,2457.4883498646586,SHP,SYCL,GPU,2000000000,3,168,3.0,488.3034338966806
56,Stream_Add,Stream_Add,SHP_SYCL_GPU,4,strong,3.3048900533942067,3304.8900533942065,SHP,SYCL,GPU,2000000000,4,224,4.0,363.0983120807814
