,bench_name,Benchmark,Target,Ranks,Scaling,Bandwidth (TB/s),Bandwidth (GB/s),model,runtime,device,vsize,Number of GPU Tiles,Number of CPU Cores,Number of CPU Sockets,rtime
71,Stream_Scale,Stream_Scale,MHP_DIRECT_CPU,56,strong,0.17940573511552335,179.40573511552336,MHP,DIRECT,CPU,2000000000,56,56,1.0,4459.166255108077
91,Stream_Scale,Stream_Scale,MHP_DIRECT_CPU,112,strong,0.2547190017554135,254.71900175541347,MHP,DIRECT,CPU,2000000000,112,112,2.0,3140.715826015119
32,Stream_Scale,Stream_Scale,MHP_SYCL_CPU,1,strong,0.18490877157134647,184.90877157134648,MHP,SYCL,CPU,2000000000,1,56,1.0,4326.457815936128
63,Stream_Scale,Stream_Scale,MHP_SYCL_CPU,2,strong,0.28015850121010816,280.15850121010817,MHP,SYCL,CPU,2000000000,2,112,2.0,2855.526412885935
81,Stream_Scale,Stream_Scale,SHP_SYCL_CPU,1,strong,0.185000970378533,185.000970378533,SHP,SYCL,CPU,2000000000,1,56,1.0,4324.301642110899
50,Stream_Scale,Stream_Scale,SHP_SYCL_CPU,2,strong,0.25051582069518136,250.51582069518133,SHP,SYCL,CPU,2000000000,2,112,2.0,3193.4110898864596
