,bench_name,Benchmark,Target,Ranks,Scaling,Bandwidth (TB/s),Bandwidth (GB/s),model,runtime,device,vsize,Number of GPU Tiles,Number of CPU Cores,Number of CPU Sockets,rtime
74,WaveEquation_DR,WaveEquation,MHP_DIRECT_CPU,56,strong,0.1844434591303605,184.4434591303605,MHP,DIRECT,CPU,2000000000,56,56,1.0,19712.159749890143
94,WaveEquation_DR,WaveEquation,MHP_DIRECT_CPU,112,strong,0.27535465652306274,275.3546565230628,MHP,DIRECT,CPU,2000000000,112,112,2.0,13203.985642042264
85,WaveEquation_DR,WaveEquation,MHP_SYCL_CPU,1,strong,0.1283668232415776,128.3668232415776,MHP,SYCL,CPU,2000000000,1,56,1.0,28323.353646897627
97,WaveEquation_DR,WaveEquation,MHP_SYCL_CPU,2,strong,0.20066893566766425,200.66893566766424,MHP,SYCL,CPU,2000000000,2,112,2.0,18118.294787895607
