,bench_name,Benchmark,Target,Ranks,Scaling,Bandwidth (TB/s),Bandwidth (GB/s),model,runtime,device,vsize,Number of GPU Tiles,Number of CPU Cores,Number of CPU Sockets,rtime
151,Stream_Triad,Stream_Triad,MHP_SYCL_GPU,1,strong,0.7973808871360037,797.3808871360038,MHP,SYCL,GPU,2000000000,1,56,1.0,1504.926966973218
21,Stream_Triad,Stream_Triad,MHP_SYCL_GPU,2,strong,1.610039357450197,1610.039357450197,MHP,SYCL,GPU,2000000000,2,112,2.0,745.3233950134162
146,Stream_Triad,Stream_Triad,MHP_SYCL_GPU,3,strong,2.3942382892942544,2394.238289294254,MHP,SYCL,GPU,2000000000,3,168,3.0,501.203245042799
3,Stream_Triad,Stream_Triad,MHP_SYCL_GPU,4,strong,3.212796990214771,3212.796990214771,MHP,SYCL,GPU,2000000000,4,224,4.0,373.50632600031844
14,Stream_Triad,Stream_Triad,SHP_SYCL_GPU,1,strong,0.8161862987548119,816.1862987548119,SHP,SYCL,GPU,2000000000,1,56,1.0,1470.2525659040602
112,Stream_Triad,Stream_Triad,SHP_SYCL_GPU,2,strong,1.6453953499318714,1645.3953499318714,SHP,SYCL,GPU,2000000000,2,112,2.0,729.3080049422085
132,Stream_Triad,Stream_Triad,SHP_SYCL_GPU,3,strong,2.3650802146098613,2365.0802146098613,SHP,SYCL,GPU,2000000000,3,168,3.0,507.3823680851135
57,Stream_Triad,Stream_Triad,SHP_SYCL_GPU,4,strong,3.310029502812501,3310.029502812501,SHP,SYCL,GPU,2000000000,4,224,4.0,362.5345329944556
