,bench_name,Benchmark,Target,Ranks,Scaling,Bandwidth (TB/s),Bandwidth (GB/s),model,runtime,device,vsize,Number of GPU Tiles,Number of CPU Cores,Number of CPU Sockets,rtime
70,Stream_Copy,Stream_Copy,MHP_DIRECT_CPU,56,strong,0.18163018767680822,181.63018767680822,MHP,DIRECT,CPU,2000000000,56,56,1.0,4404.554167083258
90,Stream_Copy,Stream_Copy,MHP_DIRECT_CPU,112,strong,0.27622993638317983,276.2299363831798,MHP,DIRECT,CPU,2000000000,112,112,2.0,2896.1379438985155
31,Stream_Copy,Stream_Copy,MHP_SYCL_CPU,1,strong,0.1854902896149902,185.49028961499022,MHP,SYCL,CPU,2000000000,1,56,1.0,4312.894231070028
62,Stream_Copy,Stream_Copy,MHP_SYCL_CPU,2,strong,0.2821687722971565,282.1687722971565,MHP,SYCL,CPU,2000000000,2,112,2.0,2835.182623105816
80,Stream_Copy,Stream_Copy,SHP_SYCL_CPU,1,strong,0.1854925506369395,185.4925506369395,SHP,SYCL,CPU,2000000000,1,56,1.0,4312.841659964137
49,Stream_Copy,Stream_Copy,SHP_SYCL_CPU,2,strong,0.25744022831116087,257.44022831116087,SHP,SYCL,CPU,2000000000,2,112,2.0,3107.5174429734507
