,bench_name,Benchmark,Target,Ranks,Scaling,Bandwidth (TB/s),Bandwidth (GB/s),model,runtime,device,vsize,Number of GPU Tiles,Number of CPU Cores,Number of CPU Sockets,rtime
68,DotProduct_DR,DotProduct,MHP_DIRECT_CPU,56,strong,0.20347932354927906,203.47932354927906,MHP,DIRECT,CPU,2000000000,56,56,1.0,7863.206797090165
88,DotProduct_DR,DotProduct,MHP_DIRECT_CPU,112,strong,0.3145914293880514,314.5914293880514,MHP,DIRECT,CPU,2000000000,112,112,2.0,5085.96182391983
29,DotProduct_DR,DotProduct,MHP_SYCL_CPU,1,strong,0.21645868946359753,216.45868946359752,MHP,SYCL,CPU,2000000000,1,56,1.0,7391.710649107836
60,DotProduct_DR,DotProduct,MHP_SYCL_CPU,2,strong,0.33470211226801505,334.70211226801507,MHP,SYCL,CPU,2000000000,2,112,2.0,4780.370189952039
140,DotProduct_Reference,DotProduct,Reference_CPU,1,strong,0.2166090407508057,216.6090407508057,SHP,SYCL,CPU,2000000000,1,56,1.0,7386.579962009497
78,DotProduct_DR,DotProduct,SHP_SYCL_CPU,1,strong,0.21649385071282554,216.49385071282552,SHP,SYCL,CPU,2000000000,1,56,1.0,7390.510144892594
47,DotProduct_DR,DotProduct,SHP_SYCL_CPU,2,strong,0.3161904058228699,316.1904058228699,SHP,SYCL,CPU,2000000000,2,112,2.0,5060.242090002949
