,bench_name,Benchmark,Target,Ranks,Scaling,Bandwidth (TB/s),Bandwidth (GB/s),model,runtime,device,vsize,Number of GPU Tiles,Number of CPU Cores,Number of CPU Sockets,rtime
75,Stencil2D_DR,Stencil2D,MHP_DIRECT_CPU,56,strong,0.14109269357127238,141.09269357127238,MHP,DIRECT,CPU,2000000000,56,56,1.0,2268.37543390103
95,Stencil2D_DR,Stencil2D,MHP_DIRECT_CPU,112,strong,0.22374492609400282,223.7449260940028,MHP,DIRECT,CPU,2000000000,112,112,2.0,1430.4288619512008
86,Stencil2D_DR,Stencil2D,MHP_SYCL_CPU,1,strong,0.0992729177076403,99.27291770764029,MHP,SYCL,CPU,2000000000,1,56,1.0,3223.437039922642
98,Stencil2D_DR,Stencil2D,MHP_SYCL_CPU,2,strong,0.15525703301915972,155.25703301915973,MHP,SYCL,CPU,2000000000,2,112,2.0,2061.0982560803536
10,Stencil2D_Reference,Stencil2D,Reference_CPU,1,strong,0.10045266671411847,100.45266671411846,MHP,SYCL,CPU,2000000000,1,56,1.0,3185.5799399601656
