,bench_name,Benchmark,Target,Ranks,Scaling,Bandwidth (TB/s),Bandwidth (GB/s),model,runtime,device,vsize,Number of GPU Tiles,Number of CPU Cores,Number of CPU Sockets,rtime
67,Reduce_DR,Reduce,MHP_DIRECT_CPU,56,strong,0.19485467391082523,194.85467391082523,MHP,DIRECT,CPU,2000000000,56,56,1.0,2052.811934000921
87,Reduce_DR,Reduce,MHP_DIRECT_CPU,112,strong,0.31081941470019453,310.8194147001945,MHP,DIRECT,CPU,2000000000,112,112,2.0,1286.9208970933362
28,Reduce_DR,Reduce,MHP_SYCL_CPU,1,strong,0.21465724602838435,214.65724602838435,MHP,SYCL,CPU,2000000000,1,56,1.0,1863.4358140750003
59,Reduce_DR,Reduce,MHP_SYCL_CPU,2,strong,0.3283334833848912,328.3334833848912,MHP,SYCL,CPU,2000000000,2,112,2.0,1218.2735549121476
139,Reduce_Reference,Reduce,Reference_CPU,1,strong,0.21531538679112688,215.31538679112688,SHP,SYCL,CPU,2000000000,1,56,1.0,1857.739969080946
77,Reduce_DR,Reduce,SHP_SYCL_CPU,1,strong,0.2145132561067587,214.5132561067587,SHP,SYCL,CPU,2000000000,1,56,1.0,1864.6866271095548
46,Reduce_DR,Reduce,SHP_SYCL_CPU,2,strong,0.26581389070400896,265.81389070400894,SHP,SYCL,CPU,2000000000,2,112,2.0,1504.8122539442868
