,bench_name,Benchmark,Target,Ranks,Scaling,Bandwidth (TB/s),Bandwidth (GB/s),model,runtime,device,vsize,Number of GPU Tiles,Number of CPU Cores,Number of CPU Sockets,rtime
69,Inclusive_Scan_DR,Inclusive_Scan,MHP_DIRECT_CPU,56,strong,0.05818059783225716,58.180597832257156,MHP,DIRECT,CPU,2000000000,56,56,1.0,13750.28840897291
89,Inclusive_Scan_DR,Inclusive_Scan,MHP_DIRECT_CPU,112,strong,0.08911746410425118,89.11746410425118,MHP,DIRECT,CPU,2000000000,112,112,2.0,8976.916118979168
30,Inclusive_Scan_DR,Inclusive_Scan,MHP_SYCL_CPU,1,strong,0.06267067555967894,62.670675559678934,MHP,SYCL,CPU,2000000000,1,56,1.0,12765.140839086536
61,Inclusive_Scan_DR,Inclusive_Scan,MHP_SYCL_CPU,2,strong,0.08086283985697457,80.86283985697456,MHP,SYCL,CPU,2000000000,2,112,2.0,9893.295875027305
141,Inclusive_Scan_Reference,Inclusive_Scan,Reference_CPU,1,strong,0.06877827332531787,68.77827332531787,SHP,SYCL,CPU,2000000000,1,56,1.0,11631.580167999262
79,Inclusive_Scan_DR,Inclusive_Scan,SHP_SYCL_CPU,1,strong,0.0625427277506161,62.5427277506161,SHP,SYCL,CPU,2000000000,1,56,1.0,12791.255334911728
48,Inclusive_Scan_DR,Inclusive_Scan,SHP_SYCL_CPU,2,strong,0.0762994656760575,76.2994656760575,SHP,SYCL,CPU,2000000000,2,112,2.0,10485.001341903724
