,bench_name,Benchmark,Target,Ranks,Scaling,Bandwidth (TB/s),Bandwidth (GB/s),model,runtime,device,vsize,Number of GPU Tiles,Number of CPU Cores,Number of CPU Sockets,rtime
72,Stream_Add,Stream_Add,MHP_DIRECT_CPU,56,strong,0.18563602878273983,185.63602878273983,MHP,DIRECT,CPU,2000000000,56,56,1.0,6464.262394906254
92,Stream_Add,Stream_Add,MHP_DIRECT_CPU,112,strong,0.2842423906434117,284.24239064341174,MHP,DIRECT,CPU,2000000000,112,112,2.0,4221.748899886738
33,Stream_Add,Stream_Add,MHP_SYCL_CPU,1,strong,0.19229622411853517,192.29622411853515,MHP,SYCL,CPU,2000000000,1,56,1.0,6240.372141994304
64,Stream_Add,Stream_Add,MHP_SYCL_CPU,2,strong,0.29322029965250074,293.2202996525007,MHP,SYCL,CPU,2000000000,2,112,2.0,4092.4860980707545
82,Stream_Add,Stream_Add,SHP_SYCL_CPU,1,strong,0.19222142127031222,192.22142127031222,SHP,SYCL,CPU,2000000000,1,56,1.0,6242.800578986952
51,Stream_Add,Stream_Add,SHP_SYCL_CPU,2,strong,0.2758362375730613,275.8362375730613,SHP,SYCL,CPU,2000000000,2,112,2.0,4350.407366915138
