,bench_name,Benchmark,Target,Ranks,Scaling,Bandwidth (TB/s),Bandwidth (GB/s),model,runtime,device,vsize,Number of GPU Tiles,Number of CPU Cores,Number of CPU Sockets,rtime
44,WaveEquation_DR,WaveEquation,MHP_SYCL_GPU,1,strong,0.4124941181640197,412.4941181640197,MHP,SYCL,GPU,2000000000,1,56,1.0,8814.135210903318
117,WaveEquation_DR,WaveEquation,MHP_SYCL_GPU,1,weak,0.4133129211245116,413.3129211245116,MHP,SYCL,GPU,2000000000,1,56,1.0,8796.673767923921
39,WaveEquation_DR,WaveEquation,MHP_SYCL_GPU,2,weak,0.7782218555805628,778.2218555805628,MHP,SYCL,GPU,4000000000,2,112,2.0,9343.920086931083
102,WaveEquation_DR,WaveEquation,MHP_SYCL_GPU,2,strong,0.7958779822243652,795.8779822243653,MHP,SYCL,GPU,2000000000,2,112,2.0,4568.261734089587
26,WaveEquation_DR,WaveEquation,MHP_SYCL_GPU,3,weak,1.1814815513449133,1181.4815513449134,MHP,SYCL,GPU,6000000000,3,168,3.0,9231.601836890552
126,WaveEquation_DR,WaveEquation,MHP_SYCL_GPU,3,strong,1.1174493400730945,1117.4493400730944,MHP,SYCL,GPU,2000000000,3,168,3.0,3253.6409489151224
107,WaveEquation_DR,WaveEquation,MHP_SYCL_GPU,4,strong,1.4286035644367434,1428.6035644367435,MHP,SYCL,GPU,2000000000,4,224,4.0,2544.9880020658366
137,WaveEquation_DR,WaveEquation,MHP_SYCL_GPU,4,weak,1.5772728695309468,1577.2728695309468,MHP,SYCL,GPU,8000000000,4,224,4.0,9220.41835990298
