,bench_name,Benchmark,Target,Ranks,Scaling,Bandwidth (TB/s),Bandwidth (GB/s),model,runtime,device,vsize,Number of GPU Tiles,Number of CPU Cores,Number of CPU Sockets,rtime
148,Stream_Copy,Stream_Copy,MHP_SYCL_GPU,1,strong,0.8601007528340806,860.1007528340806,MHP,SYCL,GPU,2000000000,1,56,1.0,930.1235900142568
18,Stream_Copy,Stream_Copy,MHP_SYCL_GPU,2,strong,1.6828608437014954,1682.8608437014955,MHP,SYCL,GPU,2000000000,2,112,2.0,475.38095796464046
143,Stream_Copy,Stream_Copy,MHP_SYCL_GPU,3,strong,2.558839252763398,2558.839252763398,MHP,SYCL,GPU,2000000000,3,168,3.0,312.6417570529475
0,Stream_Copy,Stream_Copy,MHP_SYCL_GPU,4,strong,3.424161617734663,3424.161617734663,MHP,SYCL,GPU,2000000000,4,224,4.0,233.63383195950294
11,Stream_Copy,Stream_Copy,SHP_SYCL_GPU,1,strong,0.8623715974999698,862.3715974999699,SHP,SYCL,GPU,2000000000,1,56,1.0,927.6743370482212
109,Stream_Copy,Stream_Copy,SHP_SYCL_GPU,2,strong,1.697588362483758,1697.5883624837581,SHP,SYCL,GPU,2000000000,2,112,2.0,471.2567649966168
129,Stream_Copy,Stream_Copy,SHP_SYCL_GPU,3,strong,2.5670992494265388,2567.099249426539,SHP,SYCL,GPU,2000000000,3,168,3.0,311.63578898584115
54,Stream_Copy,Stream_Copy,SHP_SYCL_GPU,4,strong,3.429747935208815,3429.747935208815,SHP,SYCL,GPU,2000000000,4,224,4.0,233.25329298617777
