,bench_name,Benchmark,Target,Ranks,Scaling,Bandwidth (TB/s),Bandwidth (GB/s),model,runtime,device,vsize,Number of GPU Tiles,Number of CPU Cores,Number of CPU Sockets,rtime
76,BlackScholes_DR,BlackScholes,MHP_DIRECT_CPU,56,strong,0.16003216156131292,160.03216156131293,MHP,DIRECT,CPU,2000000000,56,56,1.0,12497.487882982461
96,BlackScholes_DR,BlackScholes,MHP_DIRECT_CPU,112,strong,0.24000247484789544,240.00247484789546,MHP,DIRECT,CPU,2000000000,112,112,2.0,8333.247402000854
35,BlackScholes_DR,BlackScholes,MHP_SYCL_CPU,1,strong,0.04902669621189425,49.02669621189425,MHP,SYCL,CPU,2000000000,1,56,1.0,40794.101061918685
66,BlackScholes_DR,BlackScholes,MHP_SYCL_CPU,2,strong,0.09920903596072829,99.20903596072829,MHP,SYCL,CPU,2000000000,2,112,2.0,20159.454031905887
142,BlackScholes_Reference,BlackScholes,Reference_CPU,1,strong,0.049417443917755106,49.4174439177551,SHP,SYCL,CPU,2000000000,1,56,1.0,40471.53882197099
84,BlackScholes_DR,BlackScholes,SHP_SYCL_CPU,1,strong,0.049175356109450945,49.175356109450945,SHP,SYCL,CPU,2000000000,1,56,1.0,40670.77817491641
53,BlackScholes_DR,BlackScholes,SHP_SYCL_CPU,2,strong,0.09928964012805436,99.28964012805436,SHP,SYCL,CPU,2000000000,2,112,2.0,20143.08841708551
