,bench_name,Benchmark,Target,Ranks,Scaling,Bandwidth (TB/s),Bandwidth (GB/s),model,runtime,device,vsize,Number of GPU Tiles,Number of CPU Cores,Number of CPU Sockets,rtime
149,Stream_Scale,Stream_Scale,MHP_SYCL_GPU,1,strong,0.8597988751016247,859.7988751016246,MHP,SYCL,GPU,2000000000,1,56,1.0,930.4501589461179
19,Stream_Scale,Stream_Scale,MHP_SYCL_GPU,2,strong,1.6894241106915255,1689.4241106915256,MHP,SYCL,GPU,2000000000,2,112,2.0,473.53414393531943
144,Stream_Scale,Stream_Scale,MHP_SYCL_GPU,3,strong,2.5582928699235805,2558.2928699235804,MHP,SYCL,GPU,2000000000,3,168,3.0,312.70852895896047
1,Stream_Scale,Stream_Scale,MHP_SYCL_GPU,4,strong,3.4352606500240532,3435.260650024053,MHP,SYCL,GPU,2000000000,4,224,4.0,232.8789811027581
12,Stream_Scale,Stream_Scale,SHP_SYCL_GPU,1,strong,0.8559835789465333,855.9835789465333,SHP,SYCL,GPU,2000000000,1,56,1.0,934.5973680763447
110,Stream_Scale,Stream_Scale,SHP_SYCL_GPU,2,strong,1.70142731228805,1701.42731228805,SHP,SYCL,GPU,2000000000,2,112,2.0,470.1934629955915
130,Stream_Scale,Stream_Scale,SHP_SYCL_GPU,3,strong,2.5695884295320246,2569.5884295320243,SHP,SYCL,GPU,2000000000,3,168,3.0,311.33390499648874
55,Stream_Scale,Stream_Scale,SHP_SYCL_GPU,4,strong,3.4159436472686906,3415.9436472686903,SHP,SYCL,GPU,2000000000,4,224,4.0,234.19590093052662
